ticket_id,customer_id,order_id,product,issue_type,ticket_text,priority,customer_sentiment,customer_tier,payment_method,delivery_partner,channel,location,assigned_team,status,requires_escalation,sla_breach,resolution_time_hours,resolution_suggestion,created_at
PUN-TKT0029,CUST2539,ORD89983,Mobile Charger,Order Delay,Shipment tracking for my Mobile Charger has not updated.,Low,Neutral,Silver,UPI,Ekart,Email,Pune,Warehouse Operations,Open,No,No,3,Escalate to logistics support and provide updated ETA.,2026-05-04 05:08:26
MUM-TKT0030,CUST4541,ORD70489,Tablet,App Issue,Unable to place Tablet order through app.,High,Frustrated,Gold,Credit Card,XpressBees,Email,Mumbai,Technical Support,Resolved,Yes,Yes,43,Escalate to technical support for debugging.,2026-04-27 05:08:26
BEN-TKT0031,CUST3533,ORD78708,Jeans,Damaged Item,The Jeans arrived damaged and unusable.,Critical,Satisfied,Platinum,Debit Card,Ekart,Mobile App,Bengaluru,Logistics Team,In Progress,No,No,62,Initiate return pickup and offer replacement/refund.,2026-05-20 02:08:26
BEN-TKT0032,CUST8552,ORD34132,Headphones,Cancellation Issue,Cancellation request failed for Headphones.,Low,Angry,Gold,Credit Card,XpressBees,Phone,Bengaluru,Technical Support,In Progress,No,No,34,Verify cancellation eligibility and process request.,2026-04-25 21:08:26
PUN-TKT0033,CUST8704,ORD76358,Smartwatch,Stock Issue,Inventory issue detected for Smartwatch.,Low,Frustrated,Gold,Credit Card,XpressBees,Chat,Pune,Customer Support,Escalated,No,Yes,64,Validate inventory sync and suggest alternatives.,2026-05-18 05:08:26
MUM-TKT0034,CUST1490,ORD11782,Smartwatch,Damaged Item,Packaging for Smartwatch was broken.,High,Neutral,Platinum,UPI,Ekart,Mobile App,Mumbai,Technical Support,In Progress,No,Yes,27,Initiate return pickup and offer replacement/refund.,2026-04-29 12:08:26
CHE-TKT0035,CUST6023,ORD36309,Bluetooth Speaker,Payment Issue,Transaction failed during Bluetooth Speaker purchase.,Low,Satisfied,Gold,Credit Card,Delhivery,Mobile App,Chennai,Warehouse Operations,Resolved,Yes,Yes,5,Check payment gateway logs and transaction ID.,2026-05-12 09:08:26
DEL-TKT0036,CUST8840,ORD51388,Tablet,Damaged Item,The delivered Tablet is defective.,High,Satisfied,Silver,Wallet,Ekart,Chat,Delhi,Technical Support,In Progress,No,Yes,69,Initiate return pickup and offer replacement/refund.,2026-05-05 01:08:26
PUN-TKT0037,CUST7713,ORD72421,Smartwatch,Cancellation Issue,Cancelled order is still active.,High,Satisfied,Silver,Debit Card,BlueDart,Chat,Pune,Customer Support,In Progress,Yes,No,2,Verify cancellation eligibility and process request.,2026-05-08 11:08:26
CHE-TKT0038,CUST1120,ORD28671,Tablet,Damaged Item,The delivered Tablet is defective.,Critical,Satisfied,Silver,Credit Card,Ekart,Mobile App,Chennai,Warehouse Operations,Open,No,Yes,53,Initiate return pickup and offer replacement/refund.,2026-04-25 14:08:26
BEN-TKT0039,CUST3422,ORD71208,Headphones,Order Delay,My order for Headphones has not been delivered yet.,High,Satisfied,Silver,Debit Card,Delhivery,Phone,Bengaluru,Warehouse Operations,Escalated,No,No,19,Escalate to logistics support and provide updated ETA.,2026-05-18 11:08:26
BEN-TKT0040,CUST6198,ORD50459,Bluetooth Speaker,Payment Issue,Payment deducted for Bluetooth Speaker but order failed.,High,Satisfied,Gold,UPI,XpressBees,Mobile App,Bengaluru,Payment Support,Resolved,No,No,6,Check payment gateway logs and transaction ID.,2026-05-08 08:08:26
PUN-TKT0041,CUST1278,ORD54854,Bluetooth Speaker,Damaged Item,The Bluetooth Speaker arrived damaged and unusable.,High,Angry,Gold,Debit Card,Delhivery,Phone,Pune,Warehouse Operations,Resolved,No,No,64,Initiate return pickup and offer replacement/refund.,2026-05-18 07:08:26
DEL-TKT0042,CUST7150,ORD20902,Tablet,App Issue,Retail app crashes during Tablet purchase.,Critical,Neutral,Platinum,UPI,Ekart,Mobile App,Delhi,Warehouse Operations,Open,No,No,50,Escalate to technical support for debugging.,2026-05-03 12:08:26
BEN-TKT0043,CUST4549,ORD13770,Bluetooth Speaker,App Issue,Retail app crashes during Bluetooth Speaker purchase.,High,Angry,Gold,Wallet,XpressBees,Mobile App,Bengaluru,Technical Support,Resolved,Yes,Yes,65,Escalate to technical support for debugging.,2026-05-19 09:08:26
CHE-TKT0044,CUST7927,ORD36387,Jeans,Damaged Item,The delivered Jeans is defective.,Low,Neutral,Gold,Debit Card,XpressBees,Chat,Chennai,Technical Support,Open,No,No,68,Initiate return pickup and offer replacement/refund.,2026-05-20 04:08:26
CHE-TKT0045,CUST9399,ORD81981,Shoes,Wrong Item,Delivered item does not match my order.,Medium,Neutral,Silver,Wallet,Delhivery,Mobile App,Chennai,Technical Support,In Progress,No,No,34,Arrange replacement pickup and warehouse verification.,2026-05-11 10:08:26
CHE-TKT0046,CUST7682,ORD54614,Bluetooth Speaker,Wrong Item,Incorrect Bluetooth Speaker was delivered.,Critical,Satisfied,Platinum,UPI,BlueDart,Mobile App,Chennai,Customer Support,Open,No,No,44,Arrange replacement pickup and warehouse verification.,2026-05-21 03:08:26
MUM-TKT0047,CUST5332,ORD79296,Mobile Charger,Order Delay,My order for Mobile Charger has not been delivered yet.,Medium,Neutral,Platinum,UPI,Ekart,Email,Mumbai,Logistics Team,Escalated,No,No,11,Escalate to logistics support and provide updated ETA.,2026-04-28 06:08:26
MUM-TKT0048,CUST6756,ORD94214,Smartwatch,Payment Issue,Payment deducted for Smartwatch but order failed.,Medium,Frustrated,Platinum,Wallet,Ekart,Chat,Mumbai,Payment Support,Open,No,Yes,20,Check payment gateway logs and transaction ID.,2026-05-12 00:08:26
DEL-TKT0049,CUST2911,ORD99590,Smartwatch,Refund Issue,Refund for my Smartwatch is still pending.,Low,Frustrated,Silver,Debit Card,BlueDart,Email,Delhi,Customer Support,Resolved,Yes,No,45,Escalate to finance support and verify refund status.,2026-05-20 07:08:26
PUN-TKT0050,CUST1193,ORD53249,Mobile Charger,Damaged Item,The Mobile Charger arrived damaged and unusable.,Critical,Neutral,Platinum,Wallet,Ekart,Mobile App,Pune,Customer Support,In Progress,Yes,No,8,Initiate return pickup and offer replacement/refund.,2026-05-20 17:08:26
PUN-TKT0051,CUST4399,ORD51798,Smartwatch,Cancellation Issue,Cancelled order is still active.,Medium,Angry,Silver,UPI,Ekart,Email,Pune,Customer Support,Resolved,Yes,No,41,Verify cancellation eligibility and process request.,2026-05-09 20:08:26
MUM-TKT0052,CUST1906,ORD91297,Mobile Charger,Wrong Item,I received the wrong Mobile Charger in my package.,High,Satisfied,Silver,Debit Card,BlueDart,Chat,Mumbai,Warehouse Operations,In Progress,No,Yes,56,Arrange replacement pickup and warehouse verification.,2026-05-20 05:08:26
PUN-TKT0053,CUST8522,ORD49791,Headphones,App Issue,Unable to place Headphones order through app.,Medium,Neutral,Gold,Credit Card,Delhivery,Phone,Pune,Technical Support,Escalated,No,No,5,Escalate to technical support for debugging.,2026-05-06 20:08:26
CHE-TKT0054,CUST9757,ORD17692,Headphones,Order Delay,Shipment tracking for my Headphones has not updated.,High,Angry,Platinum,Credit Card,Ekart,Phone,Chennai,Technical Support,Resolved,Yes,No,46,Escalate to logistics support and provide updated ETA.,2026-05-10 15:08:26
CHE-TKT0055,CUST5854,ORD97370,Smartwatch,Refund Issue,Refund for my Smartwatch is still pending.,Medium,Satisfied,Silver,Debit Card,Ekart,Phone,Chennai,Customer Support,Resolved,Yes,No,27,Escalate to finance support and verify refund status.,2026-04-28 03:08:26
BEN-TKT0056,CUST7056,ORD59239,Laptop Bag,Payment Issue,Amount deducted but no order confirmation received.,Critical,Neutral,Silver,UPI,Delhivery,Mobile App,Bengaluru,Payment Support,Escalated,Yes,Yes,26,Check payment gateway logs and transaction ID.,2026-05-15 22:08:26
DEL-TKT0057,CUST9913,ORD91299,Bluetooth Speaker,Refund Issue,Refund for my Bluetooth Speaker is still pending.,Low,Neutral,Platinum,Wallet,Ekart,Phone,Delhi,Warehouse Operations,Resolved,No,Yes,26,Escalate to finance support and verify refund status.,2026-04-25 07:08:26
CHE-TKT0058,CUST6254,ORD96925,Jeans,Stock Issue,Inventory issue detected for Jeans.,High,Neutral,Gold,UPI,Ekart,Mobile App,Chennai,Customer Support,Open,No,Yes,46,Validate inventory sync and suggest alternatives.,2026-05-10 01:08:26
CHE-TKT0059,CUST9997,ORD66911,Tablet,App Issue,Retail app crashes during Tablet purchase.,High,Satisfied,Platinum,Credit Card,Ekart,Chat,Chennai,Payment Support,Escalated,Yes,Yes,18,Escalate to technical support for debugging.,2026-05-09 00:08:26
BEN-TKT0060,CUST6303,ORD73088,Smartwatch,Cancellation Issue,Unable to cancel my Smartwatch order.,Medium,Angry,Silver,UPI,BlueDart,Email,Bengaluru,Logistics Team,Open,Yes,No,66,Verify cancellation eligibility and process request.,2026-04-24 23:08:26
CHE-TKT0061,CUST7541,ORD87315,Shoes,Stock Issue,Shoes became out of stock after ordering.,Low,Frustrated,Platinum,Credit Card,XpressBees,Chat,Chennai,Logistics Team,Escalated,Yes,Yes,60,Validate inventory sync and suggest alternatives.,2026-05-23 20:08:26
DEL-TKT0062,CUST7631,ORD23577,Mobile Charger,Wrong Item,I received the wrong Mobile Charger in my package.,Low,Neutral,Silver,Credit Card,XpressBees,Email,Delhi,Customer Support,Escalated,No,Yes,26,Arrange replacement pickup and warehouse verification.,2026-04-28 08:08:26
PUN-TKT0063,CUST6984,ORD10344,Shoes,Refund Issue,Refund for my Shoes is still pending.,High,Neutral,Silver,Credit Card,BlueDart,Phone,Pune,Customer Support,Open,No,Yes,39,Escalate to finance support and verify refund status.,2026-04-27 15:08:26
PUN-TKT0064,CUST8683,ORD61235,Shoes,Order Delay,My order for Shoes has not been delivered yet.,Medium,Frustrated,Platinum,Credit Card,Delhivery,Email,Pune,Customer Support,Resolved,Yes,Yes,52,Escalate to logistics support and provide updated ETA.,2026-05-20 00:08:26
DEL-TKT0065,CUST1863,ORD73625,Bluetooth Speaker,Refund Issue,Refund process for Bluetooth Speaker is delayed.,Low,Frustrated,Silver,Debit Card,Ekart,Chat,Delhi,Customer Support,Open,Yes,Yes,69,Escalate to finance support and verify refund status.,2026-05-17 18:08:26
MUM-TKT0066,CUST1986,ORD26299,Jeans,App Issue,Unable to place Jeans order through app.,High,Frustrated,Gold,Debit Card,Delhivery,Email,Mumbai,Customer Support,Resolved,No,Yes,40,Escalate to technical support for debugging.,2026-05-07 17:08:26
MUM-TKT0067,CUST3448,ORD87098,Jeans,Order Delay,Delivery for my Jeans is delayed.,Low,Frustrated,Silver,UPI,BlueDart,Email,Mumbai,Warehouse Operations,Open,No,Yes,24,Escalate to logistics support and provide updated ETA.,2026-05-15 15:08:26
BEN-TKT0068,CUST1759,ORD52058,Headphones,Damaged Item,The delivered Headphones is defective.,High,Frustrated,Gold,Wallet,BlueDart,Email,Bengaluru,Warehouse Operations,Resolved,No,Yes,62,Initiate return pickup and offer replacement/refund.,2026-04-24 05:08:26
MUM-TKT0069,CUST2686,ORD80695,Smartwatch,Refund Issue,Refund process for Smartwatch is delayed.,Medium,Frustrated,Gold,Wallet,Ekart,Phone,Mumbai,Technical Support,Open,Yes,Yes,3,Escalate to finance support and verify refund status.,2026-05-13 12:08:26
PUN-TKT0070,CUST2734,ORD78179,Mobile Charger,Cancellation Issue,Unable to cancel my Mobile Charger order.,Critical,Satisfied,Silver,Wallet,Delhivery,Email,Pune,Customer Support,Resolved,Yes,No,16,Verify cancellation eligibility and process request.,2026-05-03 10:08:26
BEN-TKT0071,CUST9110,ORD14756,Jeans,Refund Issue,Refund for my Jeans is still pending.,Critical,Frustrated,Platinum,Wallet,Ekart,Chat,Bengaluru,Customer Support,Open,No,No,56,Escalate to finance support and verify refund status.,2026-04-25 12:08:26
MUM-TKT0072,CUST5009,ORD33374,Shoes,Order Delay,My order for Shoes has not been delivered yet.,Low,Angry,Gold,Wallet,BlueDart,Chat,Mumbai,Technical Support,Open,No,Yes,41,Escalate to logistics support and provide updated ETA.,2026-05-21 22:08:26
BEN-TKT0073,CUST1430,ORD70062,Jeans,Cancellation Issue,Cancellation request failed for Jeans.,Critical,Angry,Gold,Wallet,BlueDart,Mobile App,Bengaluru,Customer Support,Escalated,Yes,No,54,Verify cancellation eligibility and process request.,2026-04-30 07:08:26
PUN-TKT0074,CUST5020,ORD55371,Mobile Charger,Payment Issue,Transaction failed during Mobile Charger purchase.,Critical,Angry,Platinum,Debit Card,XpressBees,Phone,Pune,Technical Support,In Progress,Yes,No,11,Check payment gateway logs and transaction ID.,2026-04-26 00:08:26
CHE-TKT0075,CUST4172,ORD43321,Headphones,Damaged Item,The Headphones arrived damaged and unusable.,Low,Neutral,Silver,Credit Card,Delhivery,Email,Chennai,Technical Support,In Progress,No,No,35,Initiate return pickup and offer replacement/refund.,2026-05-12 07:08:26
BEN-TKT0076,CUST9235,ORD97758,Headphones,App Issue,Checkout page freezes while ordering Headphones.,Medium,Satisfied,Platinum,Debit Card,Ekart,Chat,Bengaluru,Logistics Team,Escalated,Yes,Yes,43,Escalate to technical support for debugging.,2026-05-03 13:08:26
BEN-TKT0077,CUST6160,ORD13442,Bluetooth Speaker,Damaged Item,Packaging for Bluetooth Speaker was broken.,Critical,Angry,Silver,Credit Card,Ekart,Email,Bengaluru,Technical Support,Resolved,Yes,No,24,Initiate return pickup and offer replacement/refund.,2026-04-24 06:08:26
PUN-TKT0078,CUST5978,ORD15542,Smartwatch,Wrong Item,Incorrect Smartwatch was delivered.,Critical,Satisfied,Silver,Wallet,Ekart,Chat,Pune,Warehouse Operations,Open,Yes,Yes,4,Arrange replacement pickup and warehouse verification.,2026-04-24 17:08:26
BEN-TKT0079,CUST5011,ORD19650,Bluetooth Speaker,Refund Issue,Refund not received for returned Bluetooth Speaker.,Critical,Neutral,Platinum,Debit Card,Delhivery,Phone,Bengaluru,Customer Support,Escalated,No,Yes,48,Escalate to finance support and verify refund status.,2026-05-11 05:08:26
BEN-TKT0080,CUST7434,ORD74029,Bluetooth Speaker,Refund Issue,Refund process for Bluetooth Speaker is delayed.,Low,Satisfied,Gold,Debit Card,Ekart,Phone,Bengaluru,Customer Support,Escalated,Yes,Yes,64,Escalate to finance support and verify refund status.,2026-05-23 23:08:26
PUN-TKT0081,CUST1102,ORD94777,Tablet,Cancellation Issue,Unable to cancel my Tablet order.,High,Neutral,Silver,Wallet,Ekart,Phone,Pune,Warehouse Operations,Resolved,Yes,No,51,Verify cancellation eligibility and process request.,2026-05-10 12:08:26
BEN-TKT0082,CUST1062,ORD24387,Headphones,Wrong Item,Delivered item does not match my order.,Low,Frustrated,Gold,Debit Card,Delhivery,Chat,Bengaluru,Technical Support,Open,Yes,Yes,72,Arrange replacement pickup and warehouse verification.,2026-05-06 06:08:26
DEL-TKT0083,CUST1709,ORD96029,Bluetooth Speaker,Cancellation Issue,Unable to cancel my Bluetooth Speaker order.,Low,Neutral,Platinum,Wallet,Delhivery,Email,Delhi,Customer Support,Escalated,Yes,Yes,16,Verify cancellation eligibility and process request.,2026-04-27 07:08:26
BEN-TKT0084,CUST2961,ORD56705,Shoes,Refund Issue,Refund not received for returned Shoes.,Critical,Neutral,Platinum,Credit Card,Delhivery,Mobile App,Bengaluru,Payment Support,Open,Yes,Yes,51,Escalate to finance support and verify refund status.,2026-05-08 03:08:26
CHE-TKT0085,CUST1233,ORD90028,Smartwatch,App Issue,Unable to place Smartwatch order through app.,Low,Frustrated,Platinum,Debit Card,Delhivery,Mobile App,Chennai,Customer Support,In Progress,Yes,Yes,17,Escalate to technical support for debugging.,2026-05-01 11:08:26
DEL-TKT0086,CUST4793,ORD75566,Bluetooth Speaker,Order Delay,Delivery for my Bluetooth Speaker is delayed.,Medium,Satisfied,Silver,UPI,XpressBees,Chat,Delhi,Technical Support,Resolved,Yes,Yes,59,Escalate to logistics support and provide updated ETA.,2026-05-01 08:08:26
CHE-TKT0087,CUST1317,ORD26768,Laptop Bag,Stock Issue,Inventory issue detected for Laptop Bag.,Low,Angry,Gold,Wallet,BlueDart,Chat,Chennai,Warehouse Operations,Resolved,Yes,No,10,Validate inventory sync and suggest alternatives.,2026-05-15 20:08:26
MUM-TKT0088,CUST8279,ORD35346,Headphones,Wrong Item,Incorrect Headphones was delivered.,Medium,Frustrated,Gold,Wallet,Delhivery,Email,Mumbai,Payment Support,In Progress,No,Yes,53,Arrange replacement pickup and warehouse verification.,2026-05-22 16:08:26
MUM-TKT0089,CUST7473,ORD23445,Smartwatch,Refund Issue,Refund for my Smartwatch is still pending.,Critical,Frustrated,Silver,Debit Card,Ekart,Mobile App,Mumbai,Logistics Team,Escalated,No,No,37,Escalate to finance support and verify refund status.,2026-05-18 18:08:26
MUM-TKT0090,CUST4833,ORD78698,Laptop Bag,Order Delay,Shipment tracking for my Laptop Bag has not updated.,Low,Angry,Silver,Wallet,Delhivery,Mobile App,Mumbai,Payment Support,Resolved,Yes,Yes,13,Escalate to logistics support and provide updated ETA.,2026-04-29 15:08:26
DEL-TKT0091,CUST1490,ORD78489,Mobile Charger,Payment Issue,Payment deducted for Mobile Charger but order failed.,High,Frustrated,Gold,Credit Card,BlueDart,Chat,Delhi,Technical Support,Open,Yes,Yes,55,Check payment gateway logs and transaction ID.,2026-05-11 03:08:26
DEL-TKT0092,CUST3546,ORD23198,Bluetooth Speaker,Wrong Item,I received the wrong Bluetooth Speaker in my package.,Low,Satisfied,Gold,Wallet,BlueDart,Phone,Delhi,Logistics Team,Open,No,No,31,Arrange replacement pickup and warehouse verification.,2026-04-24 00:08:26
MUM-TKT0093,CUST9667,ORD16004,Tablet,Wrong Item,Delivered item does not match my order.,Medium,Satisfied,Gold,Wallet,XpressBees,Chat,Mumbai,Warehouse Operations,In Progress,Yes,Yes,64,Arrange replacement pickup and warehouse verification.,2026-04-28 14:08:26
PUN-TKT0094,CUST9651,ORD70646,Headphones,Damaged Item,The delivered Headphones is defective.,Medium,Frustrated,Platinum,UPI,Ekart,Email,Pune,Technical Support,In Progress,No,Yes,59,Initiate return pickup and offer replacement/refund.,2026-04-29 20:08:26
CHE-TKT0095,CUST7558,ORD50974,Bluetooth Speaker,Stock Issue,Inventory issue detected for Bluetooth Speaker.,Medium,Angry,Gold,Debit Card,Delhivery,Email,Chennai,Warehouse Operations,Resolved,No,Yes,32,Validate inventory sync and suggest alternatives.,2026-05-22 00:08:26
DEL-TKT0096,CUST5654,ORD79686,Smartwatch,Refund Issue,Refund process for Smartwatch is delayed.,Low,Neutral,Silver,UPI,Ekart,Mobile App,Delhi,Technical Support,In Progress,No,No,37,Escalate to finance support and verify refund status.,2026-05-08 17:08:26
BEN-TKT0097,CUST6055,ORD19421,Shoes,Damaged Item,The Shoes arrived damaged and unusable.,Critical,Satisfied,Gold,Debit Card,Ekart,Phone,Bengaluru,Payment Support,In Progress,Yes,Yes,40,Initiate return pickup and offer replacement/refund.,2026-05-02 04:08:26
PUN-TKT0098,CUST2112,ORD12077,Smartwatch,Cancellation Issue,Unable to cancel my Smartwatch order.,Medium,Neutral,Gold,UPI,XpressBees,Mobile App,Pune,Customer Support,In Progress,Yes,Yes,50,Verify cancellation eligibility and process request.,2026-05-04 09:08:26
CHE-TKT0099,CUST2270,ORD69210,Headphones,App Issue,Retail app crashes during Headphones purchase.,Critical,Neutral,Gold,UPI,BlueDart,Chat,Chennai,Payment Support,In Progress,Yes,No,26,Escalate to technical support for debugging.,2026-05-20 11:08:26
MUM-TKT0100,CUST7238,ORD81654,Tablet,Wrong Item,Incorrect Tablet was delivered.,Low,Satisfied,Gold,Credit Card,Ekart,Mobile App,Mumbai,Warehouse Operations,Open,No,Yes,52,Arrange replacement pickup and warehouse verification.,2026-05-21 16:08:26
DEL-TKT0101,CUST5653,ORD61757,Headphones,Damaged Item,The delivered Headphones is defective.,Critical,Angry,Gold,Debit Card,Ekart,Mobile App,Delhi,Logistics Team,In Progress,No,No,49,Initiate return pickup and offer replacement/refund.,2026-05-03 11:08:26
